Bloc	Knesset	Locality	Station	Votes
Orthodox	16	310	150	281
Arab-Israeli	16	310	150	1
Micro	16	310	150	8
Secular Centre	16	310	150	30
Sectoral	16	310	150	29
Right	16	310	150	126
Left	16	310	160	63
Orthodox	16	310	160	56
Arab-Israeli	16	310	160	1
Micro	16	310	160	10
Secular Centre	16	310	160	17
Sectoral	16	310	160	97
Right	16	310	160	209
Left	16	310	170	57
Orthodox	16	310	170	96
Arab-Israeli	16	310	170	2
Micro	16	310	170	4
Secular Centre	16	310	170	15
Sectoral	16	310	170	34
Right	16	310	170	218
Left	16	310	180	48
Orthodox	16	310	180	107
Arab-Israeli	16	310	180	0
Micro	16	310	180	2
Secular Centre	16	310	180	12
Sectoral	16	310	180	5
Right	16	310	180	168
Left	16	310	190	65
Orthodox	16	310	190	64
Arab-Israeli	16	310	190	0
Micro	16	310	190	4
Secular Centre	16	310	190	34
Sectoral	16	310	190	38
Right	16	310	190	181
Left	16	310	200	55
Orthodox	16	310	200	42
Arab-Israeli	16	310	200	1
Micro	16	310	200	4
Secular Centre	16	310	200	34
Sectoral	16	310	200	38
Right	16	310	200	208
Left	16	310	210	25
Orthodox	16	310	210	36
Arab-Israeli	16	310	210	1
Micro	16	310	210	6
Secular Centre	16	310	210	25
Sectoral	16	310	210	36
Right	16	310	210	155
Left	16	310	220	58
Orthodox	16	310	220	115
Arab-Israeli	16	310	220	1
Micro	16	310	220	0
Secular Centre	16	310	220	12
Sectoral	16	310	220	14
Right	16	310	220	229
Left	16	310	230	20
Orthodox	16	310	230	29
Arab-Israeli	16	310	230	0
Micro	16	310	230	2
Secular Centre	16	310	230	43
Sectoral	16	310	230	20
Right	16	310	230	145
Left	16	310	250	39
Orthodox	16	310	250	48
Arab-Israeli	16	310	250	2
Micro	16	310	250	7
Secular Centre	16	310	250	46
Sectoral	16	310	250	34
Right	16	310	250	197
Left	16	310	260	31
Orthodox	16	310	260	46
Arab-Israeli	16	310	260	0
Micro	16	310	260	6
Secular Centre	16	310	260	4
Sectoral	16	310	260	13
Right	16	310	260	108
Left	16	320	10	18
Orthodox	16	320	10	174
Arab-Israeli	16	320	10	0
Micro	16	320	10	2
Secular Centre	16	320	10	3
Sectoral	16	320	10	0
Right	16	320	10	85
Left	16	330	10	60
Orthodox	16	330	10	12
Arab-Israeli	16	330	10	0
Micro	16	330	10	1
Secular Centre	16	330	10	33
Sectoral	16	330	10	6
Right	16	330	10	60
Left	16	350	10	170
Orthodox	16	350	10	0
Arab-Israeli	16	350	10	0
Micro	16	350	10	3
Secular Centre	16	350	10	27
Sectoral	16	350	10	9
Right	16	350	10	6
Left	16	360	10	29
Orthodox	16	360	10	40
Arab-Israeli	16	360	10	0
Micro	16	360	10	10
Secular Centre	16	360	10	2
Sectoral	16	360	10	0
Right	16	360	10	122
Left	16	370	10	12
Orthodox	16	370	10	150
Arab-Israeli	16	370	10	0
Micro	16	370	10	3
Secular Centre	16	370	10	3
Sectoral	16	370	10	1
Right	16	370	10	45
Left	16	390	10	2
Orthodox	16	390	10	65
Arab-Israeli	16	390	10	1
Micro	16	390	10	3
Secular Centre	16	390	10	0
Sectoral	16	390	10	0
Right	16	390	10	101
Left	16	410	10	61
Orthodox	16	410	10	150
Arab-Israeli	16	410	10	0
Micro	16	410	10	4
Secular Centre	16	410	10	9
Sectoral	16	410	10	6
Right	16	410	10	169
Left	16	410	20	56
Orthodox	16	410	20	179
Arab-Israeli	16	410	20	1
Micro	16	410	20	5
Secular Centre	16	410	20	20
Sectoral	16	410	20	9
Right	16	410	20	205
Left	16	410	30	71
Orthodox	16	410	30	163
Arab-Israeli	16	410	30	2
Micro	16	410	30	2
Secular Centre	16	410	30	5
Sectoral	16	410	30	5
Right	16	410	30	193
Left	16	430	10	121
Orthodox	16	430	10	18
Arab-Israeli	16	430	10	2
Micro	16	430	10	9
Secular Centre	16	430	10	62
Sectoral	16	430	10	13
Right	16	430	10	114
Left	16	430	20	163
Orthodox	16	430	20	8
Arab-Israeli	16	430	20	0
Micro	16	430	20	8
Secular Centre	16	430	20	59
Sectoral	16	430	20	9
Right	16	430	20	128
Left	16	440	10	43
Orthodox	16	440	10	47
Arab-Israeli	16	440	10	0
Micro	16	440	10	4
Secular Centre	16	440	10	1
Sectoral	16	440	10	1
Right	16	440	10	80
Left	16	460	10	48
Orthodox	16	460	10	132
Arab-Israeli	16	460	10	2
Micro	16	460	10	6
Secular Centre	16	460	10	57
Sectoral	16	460	10	8
Right	16	460	10	146
Left	16	460	20	38
Orthodox	16	460	20	125
Arab-Israeli	16	460	20	0
Micro	16	460	20	6
Secular Centre	16	460	20	65
Sectoral	16	460	20	5
Right	16	460	20	162
Left	16	460	30	44
Orthodox	16	460	30	167
Arab-Israeli	16	460	30	0
Micro	16	460	30	5
Secular Centre	16	460	30	54
Sectoral	16	460	30	10
Right	16	460	30	139
Left	16	470	10	168
Orthodox	16	470	10	29
Arab-Israeli	16	470	10	0
Micro	16	470	10	7
Secular Centre	16	470	10	85
Sectoral	16	470	10	8
Right	16	470	10	107
Left	16	470	20	160
Orthodox	16	470	20	31
Arab-Israeli	16	470	20	1
Micro	16	470	20	6
Secular Centre	16	470	20	70
Sectoral	16	470	20	11
Right	16	470	20	119
Left	16	470	30	137
Orthodox	16	470	30	16
Arab-Israeli	16	470	30	1
Micro	16	470	30	7
Secular Centre	16	470	30	80
Sectoral	16	470	30	10
Right	16	470	30	118
Left	16	480	10	36
Orthodox	16	480	10	68
Arab-Israeli	16	480	10	0
Micro	16	480	10	28
Secular Centre	16	480	10	0
Sectoral	16	480	10	3
Right	16	480	10	171
Left	16	480	20	52
Orthodox	16	480	20	60
Arab-Israeli	16	480	20	0
Micro	16	480	20	1
Secular Centre	16	480	20	32
Sectoral	16	480	20	11
Right	16	480	20	155
Left	16	490	10	55
Orthodox	16	490	10	10
Arab-Israeli	16	490	10	1
Micro	16	490	10	7
Secular Centre	16	490	10	46
Sectoral	16	490	10	10
Right	16	490	10	108
Left	16	500	10	163
Orthodox	16	500	10	31
Arab-Israeli	16	500	10	1
Micro	16	500	10	12
Secular Centre	16	500	10	65
Sectoral	16	500	10	7
Right	16	500	10	139
Left	16	500	20	169
Orthodox	16	500	20	73
Arab-Israeli	16	500	20	1
Micro	16	500	20	13
Secular Centre	16	500	20	92
Sectoral	16	500	20	11
Right	16	500	20	103
Left	16	500	30	84
Orthodox	16	500	30	146
Arab-Israeli	16	500	30	1
Micro	16	500	30	5
Secular Centre	16	500	30	28
Sectoral	16	500	30	10
Right	16	500	30	110
Left	16	520	10	29
Orthodox	16	520	10	90
Arab-Israeli	16	520	10	1
Micro	16	520	10	1
Secular Centre	16	520	10	1
Sectoral	16	520	10	0
Right	16	520	10	33
Left	16	530	10	96
Orthodox	16	530	10	62
Arab-Israeli	16	530	10	2
Micro	16	530	10	12
Secular Centre	16	530	10	52
Sectoral	16	530	10	18
Right	16	530	10	117
Left	16	530	20	11
Orthodox	16	530	20	89
Arab-Israeli	16	530	20	2
Micro	16	530	20	5
Secular Centre	16	530	20	26
Sectoral	16	530	20	43
Right	16	530	20	131
Left	16	530	30	73
Orthodox	16	530	30	135
Arab-Israeli	16	530	30	0
Micro	16	530	30	2
Secular Centre	16	530	30	46
Sectoral	16	530	30	8
Right	16	530	30	231
Left	16	530	40	132
Orthodox	16	530	40	84
Arab-Israeli	16	530	40	2
Micro	16	530	40	6
Secular Centre	16	530	40	96
Sectoral	16	530	40	15
Right	16	530	40	224
Left	16	530	50	115
Orthodox	16	530	50	68
Arab-Israeli	16	530	50	0
Micro	16	530	50	2
Secular Centre	16	530	50	58
Sectoral	16	530	50	16
Right	16	530	50	167
Left	16	550	10	34
Orthodox	16	550	10	25
Arab-Israeli	16	550	10	0
Micro	16	550	10	1
Secular Centre	16	550	10	10
Sectoral	16	550	10	0
Right	16	550	10	123
Left	16	570	10	269
Orthodox	16	570	10	9
Arab-Israeli	16	570	10	1
Micro	16	570	10	8
Secular Centre	16	570	10	65
Sectoral	16	570	10	7
Right	16	570	10	41
Left	16	580	10	31
Orthodox	16	580	10	3
Arab-Israeli	16	580	10	0
Micro	16	580	10	1
Secular Centre	16	580	10	15
Sectoral	16	580	10	1
Right	16	580	10	35
Left	16	590	10	0
Orthodox	16	590	10	66
Arab-Israeli	16	590	10	0
Micro	16	590	10	0
Secular Centre	16	590	10	0
Sectoral	16	590	10	2
Right	16	590	10	35
Left	16	620	10	244
Orthodox	16	620	10	2
Arab-Israeli	16	620	10	1
Micro	16	620	10	2
Secular Centre	16	620	10	35
Sectoral	16	620	10	16
Right	16	620	10	17
Left	16	630	10	110
Orthodox	16	630	10	10
Arab-Israeli	16	630	10	1
Micro	16	630	10	6
Secular Centre	16	630	10	39
Sectoral	16	630	10	6
Right	16	630	10	97
Left	16	640	10	29
Orthodox	16	640	10	101
Arab-Israeli	16	640	10	1
Micro	16	640	10	7
Secular Centre	16	640	10	16
Sectoral	16	640	10	2
Right	16	640	10	248
Left	16	650	10	29
Orthodox	16	650	10	87
Arab-Israeli	16	650	10	2
Micro	16	650	10	5
Secular Centre	16	650	10	15
Sectoral	16	650	10	2
Right	16	650	10	144
Left	16	650	20	28
Orthodox	16	650	20	80
Arab-Israeli	16	650	20	2
Micro	16	650	20	3
Secular Centre	16	650	20	7
Sectoral	16	650	20	1
Right	16	650	20	188
Left	16	660	10	301
Orthodox	16	660	10	7
Arab-Israeli	16	660	10	0
Micro	16	660	10	6
Secular Centre	16	660	10	23
Sectoral	16	660	10	13
Right	16	660	10	14
Left	16	670	10	166
Orthodox	16	670	10	0
Arab-Israeli	16	670	10	0
Micro	16	670	10	26
Secular Centre	16	670	10	11
Sectoral	16	670	10	8
Right	16	670	10	5
Left	16	690	10	216
Orthodox	16	690	10	1
Arab-Israeli	16	690	10	2
Micro	16	690	10	2
Secular Centre	16	690	10	8
Sectoral	16	690	10	12
Right	16	690	10	8
Left	16	700	10	26
Orthodox	16	700	10	37
Arab-Israeli	16	700	10	3
Micro	16	700	10	8
Secular Centre	16	700	10	53
Sectoral	16	700	10	53
Right	16	700	10	127
Left	16	700	20	95
Orthodox	16	700	20	34
Arab-Israeli	16	700	20	1
Micro	16	700	20	4
Secular Centre	16	700	20	35
Sectoral	16	700	20	14
Right	16	700	20	170
Left	16	700	30	67
Orthodox	16	700	30	69
Arab-Israeli	16	700	30	0
Micro	16	700	30	3
Secular Centre	16	700	30	46
Sectoral	16	700	30	14
Right	16	700	30	166
Left	16	700	40	57
Orthodox	16	700	40	72
Arab-Israeli	16	700	40	3
Micro	16	700	40	8
Secular Centre	16	700	40	45
Sectoral	16	700	40	33
Right	16	700	40	133
Left	16	700	50	55
Orthodox	16	700	50	82
Arab-Israeli	16	700	50	0
Micro	16	700	50	3
Secular Centre	16	700	50	47
Sectoral	16	700	50	12
Right	16	700	50	185
Left	16	700	60	33
Orthodox	16	700	60	81
Arab-Israeli	16	700	60	3
Micro	16	700	60	5
Secular Centre	16	700	60	54
Sectoral	16	700	60	49
Right	16	700	60	201
Left	16	700	70	48
Orthodox	16	700	70	66
Arab-Israeli	16	700	70	2
Micro	16	700	70	3
Secular Centre	16	700	70	48
Sectoral	16	700	70	21
Right	16	700	70	206
Left	16	700	80	20
Orthodox	16	700	80	44
Arab-Israeli	16	700	80	1
Micro	16	700	80	2
Secular Centre	16	700	80	25
Sectoral	16	700	80	12
Right	16	700	80	96
Left	16	700	90	45
Orthodox	16	700	90	86
Arab-Israeli	16	700	90	0
Micro	16	700	90	4
Secular Centre	16	700	90	61
Sectoral	16	700	90	17
Right	16	700	90	197
Left	16	700	100	27
Orthodox	16	700	100	65
Arab-Israeli	16	700	100	1
Micro	16	700	100	3
Secular Centre	16	700	100	32
Sectoral	16	700	100	24
Right	16	700	100	159
Left	16	700	110	48
Orthodox	16	700	110	72
Arab-Israeli	16	700	110	2
Micro	16	700	110	7
Secular Centre	16	700	110	62
Sectoral	16	700	110	20
Right	16	700	110	195
Left	16	700	120	26
Orthodox	16	700	120	63
Arab-Israeli	16	700	120	1
Micro	16	700	120	2
Secular Centre	16	700	120	39
Sectoral	16	700	120	16
Right	16	700	120	173
Left	16	700	130	32
Orthodox	16	700	130	80
Arab-Israeli	16	700	130	1
Micro	16	700	130	2
Secular Centre	16	700	130	35
Sectoral	16	700	130	17
Right	16	700	130	192
Left	16	700	140	29
Orthodox	16	700	140	77
Arab-Israeli	16	700	140	0
Micro	16	700	140	4
Secular Centre	16	700	140	48
Sectoral	16	700	140	23
Right	16	700	140	189
Left	16	700	150	48
Orthodox	16	700	150	75
Arab-Israeli	16	700	150	2
Micro	16	700	150	10
Secular Centre	16	700	150	57
Sectoral	16	700	150	14
Right	16	700	150	219
Left	16	700	160	31
Orthodox	16	700	160	100
Arab-Israeli	16	700	160	3
Micro	16	700	160	2
Secular Centre	16	700	160	25
Sectoral	16	700	160	2
Right	16	700	160	148
Left	16	700	170	25
Orthodox	16	700	170	88
Arab-Israeli	16	700	170	2
Micro	16	700	170	2
Secular Centre	16	700	170	44
Sectoral	16	700	170	40
Right	16	700	170	138
Left	16	700	180	52
Orthodox	16	700	180	172
Arab-Israeli	16	700	180	2
Micro	16	700	180	5
Secular Centre	16	700	180	24
Sectoral	16	700	180	15
Right	16	700	180	122
Left	16	700	190	41
Orthodox	16	700	190	92
Arab-Israeli	16	700	190	3
Micro	16	700	190	6
Secular Centre	16	700	190	38
Sectoral	16	700	190	46
Right	16	700	190	191
Left	16	700	200	49
Orthodox	16	700	200	68
Arab-Israeli	16	700	200	0
Micro	16	700	200	5
Secular Centre	16	700	200	52
Sectoral	16	700	200	28
Right	16	700	200	161
Left	16	700	210	35
Orthodox	16	700	210	62
Arab-Israeli	16	700	210	1
Micro	16	700	210	8
Secular Centre	16	700	210	57
Sectoral	16	700	210	74
Right	16	700	210	239
Left	16	700	220	35
Orthodox	16	700	220	92
Arab-Israeli	16	700	220	1
Micro	16	700	220	5
Secular Centre	16	700	220	38
Sectoral	16	700	220	29
Right	16	700	220	154
Left	16	700	230	69
Orthodox	16	700	230	27
Arab-Israeli	16	700	230	0
Micro	16	700	230	10
Secular Centre	16	700	230	53
Sectoral	16	700	230	16
Right	16	700	230	127
Left	16	700	240	57
Orthodox	16	700	240	90
Arab-Israeli	16	700	240	1
Micro	16	700	240	5
Secular Centre	16	700	240	36
Sectoral	16	700	240	18
Right	16	700	240	155
Left	16	700	250	38
Orthodox	16	700	250	71
Arab-Israeli	16	700	250	3
Micro	16	700	250	4
Secular Centre	16	700	250	49
Sectoral	16	700	250	21
Right	16	700	250	152
Left	16	700	260	76
Orthodox	16	700	260	68
Arab-Israeli	16	700	260	3
Micro	16	700	260	4
Secular Centre	16	700	260	52
Sectoral	16	700	260	17
Right	16	700	260	207
Left	16	700	270	47
Orthodox	16	700	270	105
Arab-Israeli	16	700	270	0
Micro	16	700	270	6
Secular Centre	16	700	270	45
Sectoral	16	700	270	27
Right	16	700	270	207
Left	16	700	280	20
Orthodox	16	700	280	46
Arab-Israeli	16	700	280	1
Micro	16	700	280	1
Secular Centre	16	700	280	36
Sectoral	16	700	280	10
Right	16	700	280	157
Left	16	700	290	45
Orthodox	16	700	290	85
Arab-Israeli	16	700	290	0
Micro	16	700	290	7
Secular Centre	16	700	290	46
Sectoral	16	700	290	12
Right	16	700	290	186
Left	16	700	300	8
Orthodox	16	700	300	527
Arab-Israeli	16	700	300	0
Micro	16	700	300	0
Secular Centre	16	700	300	0
Sectoral	16	700	300	1
Right	16	700	300	14
Left	16	700	310	54
Orthodox	16	700	310	92
Arab-Israeli	16	700	310	0
Micro	16	700	310	0
Secular Centre	16	700	310	27
Sectoral	16	700	310	10
Right	16	700	310	136
Left	16	700	320	0
Orthodox	16	700	320	414
Arab-Israeli	16	700	320	1
Micro	16	700	320	0
Secular Centre	16	700	320	1
Sectoral	16	700	320	0
Right	16	700	320	4
Left	16	700	330	33
Orthodox	16	700	330	131
Arab-Israeli	16	700	330	0
Micro	16	700	330	2
Secular Centre	16	700	330	39
Sectoral	16	700	330	3
Right	16	700	330	165
Left	16	700	340	35
Orthodox	16	700	340	118
Arab-Israeli	16	700	340	1
Micro	16	700	340	5
Secular Centre	16	700	340	35
Sectoral	16	700	340	16
Right	16	700	340	146
Left	16	700	350	25
Orthodox	16	700	350	82
Arab-Israeli	16	700	350	0
Micro	16	700	350	1
Secular Centre	16	700	350	24
Sectoral	16	700	350	12
Right	16	700	350	122
Left	16	700	360	60
Orthodox	16	700	360	74
Arab-Israeli	16	700	360	0
Micro	16	700	360	2
Secular Centre	16	700	360	40
Sectoral	16	700	360	13
Right	16	700	360	138
Left	16	700	370	39
Orthodox	16	700	370	69
Arab-Israeli	16	700	370	1
Micro	16	700	370	2
Secular Centre	16	700	370	26
Sectoral	16	700	370	14
Right	16	700	370	99
Left	16	700	380	41
Orthodox	16	700	380	84
Arab-Israeli	16	700	380	2
Micro	16	700	380	5
Secular Centre	16	700	380	21
Sectoral	16	700	380	5
Right	16	700	380	144
Left	16	700	390	35
Orthodox	16	700	390	56
Arab-Israeli	16	700	390	0
Micro	16	700	390	3
Secular Centre	16	700	390	39
Sectoral	16	700	390	13
Right	16	700	390	160
Left	16	700	400	55
Orthodox	16	700	400	73
Arab-Israeli	16	700	400	3
Micro	16	700	400	7
Secular Centre	16	700	400	55
Sectoral	16	700	400	31
Right	16	700	400	177
Left	16	700	410	19
Orthodox	16	700	410	110
Arab-Israeli	16	700	410	3
Micro	16	700	410	12
Secular Centre	16	700	410	31
Sectoral	16	700	410	32
Right	16	700	410	155
Left	16	700	420	38
Orthodox	16	700	420	120
Arab-Israeli	16	700	420	0
Micro	16	700	420	4
Secular Centre	16	700	420	34
Sectoral	16	700	420	16
Right	16	700	420	164
Left	16	700	430	24
Orthodox	16	700	430	37
Arab-Israeli	16	700	430	1
Micro	16	700	430	4
Secular Centre	16	700	430	65
Sectoral	16	700	430	22
Right	16	700	430	174
Left	16	700	440	1
Orthodox	16	700	440	463
Arab-Israeli	16	700	440	0
Micro	16	700	440	0
Secular Centre	16	700	440	1
Sectoral	16	700	440	0
Right	16	700	440	6
Left	16	700	450	81
Orthodox	16	700	450	52
Arab-Israeli	16	700	450	0
Micro	16	700	450	6
Secular Centre	16	700	450	47
Sectoral	16	700	450	4
Right	16	700	450	158
Left	16	700	460	62
Orthodox	16	700	460	87
Arab-Israeli	16	700	460	1
Micro	16	700	460	10
Secular Centre	16	700	460	37
Sectoral	16	700	460	11
Right	16	700	460	176
Left	16	700	470	58
Orthodox	16	700	470	72
Arab-Israeli	16	700	470	1
Micro	16	700	470	1
Secular Centre	16	700	470	36
Sectoral	16	700	470	19
Right	16	700	470	191
Left	16	700	480	46
Orthodox	16	700	480	69
Arab-Israeli	16	700	480	0
Micro	16	700	480	6
Secular Centre	16	700	480	35
Sectoral	16	700	480	11
Right	16	700	480	158
Left	16	700	490	45
Orthodox	16	700	490	64
Arab-Israeli	16	700	490	1
Micro	16	700	490	4
Secular Centre	16	700	490	82
Sectoral	16	700	490	15
Right	16	700	490	194
Left	16	700	500	42
Orthodox	16	700	500	80
Arab-Israeli	16	700	500	2
Micro	16	700	500	4
Secular Centre	16	700	500	28
Sectoral	16	700	500	9
Right	16	700	500	163
Left	16	700	510	41
Orthodox	16	700	510	87
Arab-Israeli	16	700	510	3
Micro	16	700	510	3
Secular Centre	16	700	510	45
Sectoral	16	700	510	28
Right	16	700	510	246
Left	16	700	520	54
Orthodox	16	700	520	66
Arab-Israeli	16	700	520	2
Micro	16	700	520	4
Secular Centre	16	700	520	26
Sectoral	16	700	520	13
Right	16	700	520	146
Left	16	700	530	58
Orthodox	16	700	530	200
Arab-Israeli	16	700	530	0
Micro	16	700	530	8
Secular Centre	16	700	530	50
Sectoral	16	700	530	21
Right	16	700	530	210
Left	16	700	540	46
Orthodox	16	700	540	42
Arab-Israeli	16	700	540	0
Micro	16	700	540	8
Secular Centre	16	700	540	42
Sectoral	16	700	540	15
Right	16	700	540	123
Left	16	700	550	30
Orthodox	16	700	550	127
Arab-Israeli	16	700	550	2
Micro	16	700	550	5
Secular Centre	16	700	550	56
Sectoral	16	700	550	17
Right	16	700	550	190
Left	16	700	560	61
Orthodox	16	700	560	88
Arab-Israeli	16	700	560	0
Micro	16	700	560	7
Secular Centre	16	700	560	72
Sectoral	16	700	560	21
Right	16	700	560	251
Left	16	700	570	22
Orthodox	16	700	570	119
Arab-Israeli	16	700	570	0
Micro	16	700	570	2
Secular Centre	16	700	570	36
Sectoral	16	700	570	9
Right	16	700	570	215
Left	16	700	580	19
Orthodox	16	700	580	44
Arab-Israeli	16	700	580	0
Micro	16	700	580	8
Secular Centre	16	700	580	125
Sectoral	16	700	580	38
Right	16	700	580	261
Left	16	700	590	38
Orthodox	16	700	590	200
Arab-Israeli	16	700	590	1
Micro	16	700	590	4
Secular Centre	16	700	590	39
Sectoral	16	700	590	3
Right	16	700	590	163
Left	16	700	600	31
Orthodox	16	700	600	303
Arab-Israeli	16	700	600	1
