Address	Latitude	Longitude
ההסתדרות, השרון (נתניה)	32.3341623	34.855743
מטולה, צפת	33.277232	35.578235
כפר תבור שכ המיסדים 2, כנרת	32.6861078	35.4219536
מדיין 5, באר שבע	31.2641776	34.77253290000001
טביב אברהם 14, קריות	32.8090312	35.1190416
ז'בוטינסקי 11, קריות	32.089995	34.8787925
עמק רפאים 22, ירושלים	31.7651592	35.2203848
שריד, שריד	32.663059	35.224755
לבונטין 15, ראשון לציון	31.961055	34.80857950000001
מוטה גור 6, חולון	32.0100366	34.7824361
האלון 27, רחובות	31.8762673	34.7414796
טביב אברהם 14, קרית אתא	32.8090312	35.1190416
סולד הנרייטה 4, בת ים	32.0175801	34.7601604
אלרואי דוד 1, דן	32.1582366	34.837842
ארזים 7 ב, קרית ים	32.8584641	35.0822998
בית אריה, בית אריה	32.040059	35.049472
החשמל 22, חיפה	32.797851	35.0164649
נגבה 33, רחובות	31.889854	34.80944
שד ויצמן 41, קריות	32.7849799	34.9671973
שד ירושלים 89, קרית ים	32.851468	35.079086
קאופמן חיים 1, רחובות	31.8943652	34.8115292
רב קוק 31, נתניה	32.3337512	34.8541893
טובי תופיק 20, חיפה	32.7940463	34.989571
גן שמואל 10, חדרה	32.4384284	34.9040238
רחוב החשמונאים, טבריה	32.7923079	35.5244093
שומרה 2, רחובות	31.8943652	34.8115292
כפר בן נון, מרכז-דרום	31.861679	34.947191
בן שמעון דוד 4, ירושלים	31.7771357	35.2221515
דרך ירושלים 1, רחובות	31.887921	34.820639
החשמונאים 1, רחובות	31.8862628	34.8039182
דחי, יזרעאל	32.622491	35.343604
חורשים, חורשים	32.137875	34.97102
טייבה, השרון (נתניה)	32.266892	35.009675
קיש 84 שכון עממי, פתח תקווה	32.0723838	34.8918571
קפלן 17, חולון	32.026561	34.771792
השישה עשר 32, ירושלים	31.82864979999999	35.2453132
באר גנים 16, אשקלון	31.7003539	34.610934
זילבר פרדס הגדוד, נתניה	32.343728	34.866384
מכורה, יזרעאל	32.562589	35.319425
אהרון וברוך 1, רחובות	31.9742028	34.798491
צהיון 5 הדר תחתון, חיפה	32.8180886	34.9959131
גבעת אוסישקין, נהריה	33.000407	35.102065
קוסטה ריקה 17, ירושלים	31.7550112	35.1721198
קראוזה 3, חולון	32.0265811	34.7819724
מוכרי הסיגריות 4, בת ים	32.0131749	34.7553477
רמז 14, קריות	32.32749	34.8535634
יושיביה, יושיביה	31.444699	34.608784
אסד (שבט), באר שבע	31.2521018	34.7867691
לוי אשכול 444, מעלות-תרשיחא	33.0164806	35.2813572
ברודצקי 68, תל-אביב	32.1125202	34.7984916
"שד בן אב""י, נתניה"	32.3185109	34.8525241
ירושלים, ירושלים	31.768319	35.21371
שזר 93, תל אביב - יפו	32.040777	34.7629005
הזמיר, השרון (נתניה)	32.3062602	34.8828239
כפר שמואל, רמלה-לוד	31.888259	34.934819
"בית""ר 8, חיפה"	32.8042602	35.0001958
שדרות אורי צבי רמות, באר שבע	31.2720036	34.8114708
בית נקופה, בית נקופה	31.804392	35.126876
דרך כפר הדר 33, מרכז-צפון	32.1514868	34.8881622
גינוסר 2, כנרת	32.848666	35.523152
פוריה כפר עבודה, פוריה - כפר עבודה	32.719846	35.545563
אדם, אודם	33.1933716	35.7495651
משואות יצחק, משואות יצחק	31.70261	34.689968
שמעון התרסי 13, תל אביב - יפו	32.0945409	34.77994899999999
בית עוזיאל, בית עוזיאל	31.87005	34.904858
הקשת 6, תל אביב - יפו	32.04194	34.7751886
חצור-אשדוד, אשקלון	31.772744	34.719366
מרומי שדה 8, רמלה-לוד	31.930392	34.88688700000001
כרמל 59, ראש העין	32.0929499	34.9633829
אסיף 4, עכו	32.933052	35.082678
הנחשול 30, רחובות	31.984393	34.7824942
שאול המלך 5, ראשון לציון	31.9793533	34.7889732
בציר 39, כרמיאל	32.91405410000001	35.2776313
יפיע מראח אל גוזלאן, יפיע	32.68149090000001	35.2728595
הנורית 16, בית שמש	31.7383204	34.9793829
בן-יעקב 1, בני ברק	32.084932	34.835226
רבי יהושע 3, אלעד	32.056047	34.9579681
יחיעם, עכו	32.996109	35.22109100000001
שבטי ישראל 6, קרית אתא	32.8045534	35.1043272
התשעים ושלוש 2, תל-אביב	32.0592872	34.789976
שמואל הנביא 13, אשקלון	31.6687885	34.5742523
גלר זאב 2, מרכז-צפון	32.1774325	34.8969416
עטרת, עטרת	32.001207	35.176982
גבעת יואב, כנרת	32.801217	35.680911
"הפלמ""ח 87, צפת"	32.9636604	35.4956986
ביאליק 39, צפת	32.978942	35.5080981
אור שמח 9, בית שמש	31.7392917	34.9939533
שד אלנטאון 17, כנרת	32.787544	35.516335
יעקב אורלנד 7, מרכז-צפון	32.1943742	34.8661277
קתרוס 37, פתח תקווה	32.0782749	34.9077369
הזורעים 1, כנרת	32.747503	35.506309
ביר אל אמיר, נצרת	32.691608	35.287314
נחל שורק 15, יהודה	31.85223408533552	34.95024892764607
שרת משה 4, עכו	32.9318213	35.0788174
ששת הימים 25, רעננה	32.1805632	34.8840126
הצנחנים, טבריה	32.793573	35.538597
ציפורי 31, נצרת עילית	32.7095706	35.3164181
מעפילי אגוז 5, נתניה	32.2749051	34.8492727
הרב אורבוך 30, דן-צפון	33.239637	35.653953
מכורה, מכורה	32.164159	35.423623
שפירא אברהם, אשדוד	31.792117	34.658808
עיאדאת, יזרעאל	32.71864000000001	35.222327
הרימון 17, השרון (נתניה)	32.3522345	34.8655361
"תרפ""ד 45, דן-צפון"	33.239637	35.653953
מבוא נגבה 01, רמת גן	32.0703941	34.8236383
שבזי שלום, דימונה	31.0732935	35.0422545
דרך הנחשונים 23, אריאל	32.1060734	35.1749468
קרן קיימת לישראל 75, קרית ביאליק	32.8202853	35.0801713
שכ 30, באר שבע	31.25309	34.776551
טרומפלדור, כנרת	32.793108	35.525993
אלמותנבי 3, מעלות-תרשיחא	33.0088225	35.2680717
רח 6135 6135, יזרעאל	32.7040448	35.2984111
הראשונים 2, מוצא עילית	31.795403	35.155449
עין אל סהלה, עין א-סהלה	32.491481	35.117506
נצרת 413, נצרת	32.699635	35.303546
רהט שכ 28, אפיניש (שבט)	31.390806	34.769497
שכון בן גוריון, נצרת עילית	32.694958	35.311359
המייסדים 73, חדרה	32.5754982	34.953863
הגיא, רמלה-לוד	31.9583387	34.902491
קרית שמונה, קרית שמונה	33.207933	35.570246
אבן גבירול 13 הדר תחתון, חיפה	32.8069035	35.0059015
הזית 2, השרון (נתניה)	32.3501331	34.8629788
דרך יותם 50, אילת	29.5559095	34.9429408
"דובב, דוב""ב"	33.0508	35.407747
סואנייה, דאלית אל-כרמל	32.695946	35.050587
אשחר 3, צפת	32.964648	35.495997
אדמית, עכו	33.078842	35.20951
קרוננברג יוסף 3, רחובות	31.8786965	34.8120689
נעלה, רמלה-לוד	31.951014	34.888075
גאולה 30, רחובות	31.8981456	34.8098701
שורשים, עכו	32.933052	35.082678
מכבי 4, השרון (נתניה)	32.321458	34.853196
לבנון חיים 37, תל אביב - יפו	32.108455	34.8010905
שד בגין מנחם 14, אשקלון	31.673714	34.582055
אלחווארנה, חדרה	32.4340458	34.9196518
הרב קוק 102, קריות	32.841667	35.071389
המלך רחבעם 11, אשדוד	31.7793417	34.6427426
הרצוג 4, איילון	31.6580162	35.1242561
סולד הנרייטה 6, תל-אביב	32.079623	34.79202910000001
משואה, משואה	32.111805	35.490255
בית שאן ירושלים הבירה 2, יזרעאל	32.4985465	35.4974549
רח 6053 11, נצרת	32.7070367	35.3021484
שכ' נווה נוי נווה נוי, נתיבות	31.41417199999999	34.58237
המעין 19, גבעתיים	32.071141	34.8121773
סנדלה, צנדלה	32.522449	35.32442
כנרת (קבוצה), כנרת (קבוצה)	32.714209	35.562746
נען, נען	31.883208	34.859237
חריף אייזיק 23, תל-אביב	32.0324772	34.7477718
כרמל 6, מרכז-דרום	31.5935778	34.811762
שור 8, באר שבע	31.2521018	34.7867691
הרב כהן משה, טבריה	32.7821977	35.537759
"רמב""ם 7, דן-דרום"	32.068044	34.7693105
18 רח, דאלית אל-כרמל	32.693796	35.055447
ירושלים 15, מרכז-צפון	31.768319	35.21371
בעל שם טוב, אשקלון	31.66043	34.563611
אביטל, אביטל	32.557676	35.306412
בית מאיר, יהודה	31.794786	35.036753
אוליפנט 15, תל-אביב	32.0653916	34.7815073
נחל שורק 5, תל אביב - יפו	32.0395629	34.76078
הסנהדרין 27, חולון	32.0037295	34.7635055
ככר גפן, פתח תקווה	32.0877843	34.9033791
שד הפלמח רובע ג', אשדוד	31.8001593	34.6627743
הר גילה, יהודה	31.722058	35.171491
הפודים 73, רמת גן	32.09374	34.8220168
חדרה 2, תל אביב - יפו	32.0855761	34.7871329
יואב 5, חיפה	32.8283726	34.9772303
המייסדים, רחובות	31.876757	34.821254
ויצמן 14, דן	32.081588	34.78921270000001
הצבר, דימונה	31.0627528	35.0355713
תדהר, באר שבע	31.2309385	34.799453
דיזרעאלי 11, מרכז-דרום	31.94701169999999	34.8834469
"דוב""ב, צפת"	33.0508	35.407747
ערבי נחל 3, רחובות	31.8943652	34.8115292
זיסו 9, דן	33.008189	35.102097
קליבנוב 20, חיפה	32.792868	35.0102884
סמ גן נחום, רחובות	31.8943652	34.8115292
שאר ישוב, צפת	33.2263492	35.6468357
בן צבי 21, יהוד	32.0307007	34.8967693
עולי הגרדום 31, ראשון לציון	31.96170029999999	34.7975389
מורדי הגטאות 58, דן-צפון	33.239637	35.653953
יהושפט המלך 6, חיפה	32.807498	34.96140680000001
טשרניחובסקי 34, חיפה	32.8209977	34.9755727
מטע, מטע	31.716522	35.060571
נרקיסים 13, קרית טבעון	32.7243158	35.1378876
אמת המים, עתלית	32.6904999	34.9430732
הדדי ציון שאול 12, איילון	32.3154101	34.8549057
שכניה, שכניה	32.849186	35.246701
החשמונאים 15, דן-צפון	32.794202	35.524116
האלונים 34, רכסים	32.7523441	35.097572
חטיבת הנגב 30, אשקלון	31.5270992	34.5888928
פרופ' צ'חנובר אהרון 4, רחובות	31.9016954	34.822982
לקיה, קודייראת א-צאנע	31.324884	34.866219
התבור קרית שרת, רעננה	32.195994	34.8509291
ניצן 2, אור יהודה	32.0277099	34.8725816
מלכי ישראל, באר שבע	31.2521018	34.7867691
עין אלאסראר 19, כרמיאל	32.9352058	35.3668084
פינס 1, גדרה	31.8164359	34.777769
נאעורה ד.נ. גלבוע, נאעורה	32.61468	35.391133
שכ 42, כסיפה	31.240359	35.094176
שד רוטשילד, אשקלון	31.7719277	34.6297079
בראון אריה 3, פתח תקווה	32.1035544	34.8772635
הרב אברמסקי 26, דן-צפון	33.239637	35.653953
דרך הטכניון 6, קריות	32.775332	35.034378
דרך הטייסים, תל אביב - יפו	32.054616	34.810687
הרב מימון 32, אשקלון	31.653366	34.564749
הרדוף, כרמיאל	32.9062497	35.3014551
אכסאל, אכסאל	32.682085	35.320743
הראל אחוזה, חיפה	32.7889772	34.9922763
ישראל מסלנט 24, תל אביב - יפו	32.0499855	34.7815944
השוהם 12, יזרעאל	32.679917	35.2469211
שכון שרת, טירת כרמל	32.7627747	34.968917
הטנא מרכז הכרמל, חיפה	32.8007153	34.9882953
ראש פינה 13, אשקלון	31.6687885	34.5742523
יהודה הלוי 20, פתח תקווה	32.0885346	34.88952099999999
הבנים 10, מרכז-צפון	32.1559035	34.8934344
גבעת אוסישקין, עכו	33.000407	35.102065
רוחמה 1, דן	32.0719689	34.8206011
כדיתה, כדיתה	33.005954	35.468309
מצובה, מצובה	33.062312	35.155705
חואלד, ח'ואלד	32.758894	35.15837399999999
בן צבי יצחק 6, חיפה	32.8198942	35.0614181
הגיא 1, רמלה-לוד	31.9582894	34.9025754
יונה 3, פתח תקווה	32.0753159	34.8995939
עצמון 3, יזרעאל	32.6729773	35.2433524
בית רבן, רחובות	31.8166376	34.729755
הגליל 107, חיפה	32.7872985	35.0210252
רבקה 4, באר שבע	31.26829559999999	34.7651456
שד יד לבנים 81, תל אביב - יפו	32.0607703	34.7978951
הרב זכריה מדר, רחובות	31.8943652	34.8115292
כובשי אילת, דימונה	31.0637199	35.0398805
הר מירון, הרצליה	32.1587566	34.8365561
בתי מחסה, ירושלים	31.7743033	35.2331188
הזורע, הזורע	32.644516	35.11918
אוסישקין 65, דן	32.1447491	34.8441139
בגין מנחם 4, דן-צפון	33.239637	35.653953
נחמיה 111, רחובות	31.9491493	34.8197531
דרך ואדי אלנסור, חדרה	32.4340458	34.9196518
חורב 63 אחוזה, חיפה	32.7798246	34.9932744
הדרים 22, שדה ורבורג	32.208691	34.90325
אלוני הבשן, אלוני הבשן	33.044087	35.838507
"ניר ח""ן, ניר ח""ן"	31.608906	34.714282
חנקין יהושע, יזרעאל	32.605914	35.288612
חזון, חזון	32.90658	35.395291
בר יהודה 3, קריות	32.841667	35.071389
ירמיהו 11, ראשון לציון	31.9521158	34.816088
שבזי 18, ראש העין	32.0278656	34.8962148
תנועות הנוער 2, רחובות	31.8943652	34.8115292
מורדי הגטאות, אשקלון	31.6687885	34.5742523
יזרעאל / הגפן 51 שכון ספיר, נצרת עילית	32.711539	35.324812
הפרחים 1, רעננה	32.177503	34.8614925
טירה, טירה	32.235466	34.950506
צבעוני 17, חיפה	32.7956708	34.9968388
נוה שאנן 55, מרכז-צפון	32.791244	35.014136
"האדמו""ר מגור 7, דן-צפון"	33.239637	35.653953
הרב קוק 18, נתניה	32.331582	34.8544191
הערבה 8, איילון	32.7696611	35.0298951
ברקן 1, ברקן	32.0935174	34.9736568
סאלם, חדרה	32.544674	35.198599
עראמשה 1, עכו	32.933052	35.082678
עצמון שגב, עכו	32.865802	35.252335
האיילון, מרכז-דרום	31.9449541	34.9016252
בנימין 3, קריות	32.841667	35.071389
דוכיפת 57, ערד	31.2700821	35.2120572
סעדיה חתוכה 36, יהוד	32.0312285	34.8886377
הרב מוהליבר שמואל 10, פתח תקווה	32.0796316	34.828174
אמציה אמציה, נטע	31.531176	34.914463
בצרה, בצרה	32.214541	34.878123
מונטיפיורי 51 אהדר עליון, חיפה	32.8044301	34.9930491
מצליח, מצליח	31.906364	34.871278
בר יהודה 3, קרית ים	32.849276	35.068929
כעביה טבאש, כעביה-טבאש	32.748863	35.184271
עין חרוד מאוחד ד.נ. גלבוע, עין חרוד )מאוחד(	32.556806	35.392995
שוהם 526 א, ירושלים	31.731659	35.183855
משכיות, יזרעאל	32.562589	35.319425
העצמאות 7, אשקלון	31.6761985	34.5715107
בית זרע בית המוסדות, בית זרע	32.689296	35.574062
רח 6098 10, יזרעאל	32.7048537	35.2986889
שכ 3, תל שבע	31.247569	34.861193
ראשונים 3, קריות	32.841667	35.071389
027 15 שכונת נמסאוי, נצרת	32.703342	35.308701
שכ ואדי נסור, אום אל-פחם	32.5103125	35.154926
שלום עליכם 5, חולון	32.0231866	34.784285
שד יעלים 39, באר שבע	31.248229	34.78113500000001
יצחק אלחנן 2, תל אביב - יפו	32.0657239	34.76542
הדקל 1, עכו	32.9379795	35.076966
הנשיאים 11, מגדל העמק	32.6706956	35.243794
שד בן גוריון 63, אזור	32.0184201	34.8162536
עוזה, עוזה	31.593042	34.764524
רקפת, רקפת	32.855569	35.264237
חולתה, צפת	33.052851	35.609244
"גבעת ניל""י, חדרה"	32.549043	35.041194
טולוז 8, תל-אביב	32.0397039	34.747915
אורים 41, תל אביב - יפו	32.0467823	34.7934817
יסמין, קריות	32.841667	35.071389
לייפר- מילר רחל 1, אשקלון	31.697585	34.58214700000001
בני יהודה, בני יהודה	32.798262	35.69107
אינשטיין 16, דן-צפון	33.239637	35.653953
ניר עם, ניר עם	31.518459	34.580544
אלבז נתן 2, תל-אביב	32.0517241	34.8070008
וייצמן, קרית מלאכי	31.7340193	34.7404869
מירון 2, קרית גת	31.611148	34.768459
עצמון, שגב	32.865802	35.252335
כפר טרומן, כפר טרומן	31.980493	34.927696
פתח תקווה 10, אשקלון	31.6687885	34.5742523
יורדי הים 36, הוד השרון	32.1476441	34.8761298
נווה, באר שבע	31.162183	34.329827
המיסדים, עתלית	32.6924049	34.9438381
הרצל פנת וינגיט 2, קרית אונו	32.0649111	34.8529747
קהילת קנדה 3, תל אביב - יפו	32.032948	34.7534484
פני חבר, יהודה	31.487074	35.1651
דפנה 52, קריות	32.841667	35.071389
גיאה, גיאה	31.628467	34.602678
דורות, אשקלון	31.674473	34.556743
הדר, באר שבע	31.2320777	34.7953394
שני אליהו, אשקלון	31.6522785	34.5538023
אילון פנחס 20, איילון	32.0067619	34.777266
שכון גיורא, טירת כרמל	32.754153	34.971009
כפר מנדא, כפר מנדא	32.81236	35.258613
סנסנה 1, סנסנה	31.36176499999999	34.901003
גולומב 4, הוד השרון	32.1565951	34.91348800000001
שד' עופר 5, אשקלון	31.6570468	34.5684348
ארז 11, רחובות	31.8904583	34.7755785
ז'בוטינסקי 11, חדרה	32.4333474	34.91756220000001
פרי גן, באר שבע	31.222015	34.355936
המכבים 76, דן-צפון	33.239637	35.653953
הנריאטה סולד, קרית ביאליק	32.825602	35.082963
פדואל, פדואל	32.062479	35.052619
צלפון, יהודה	31.805599	34.931797
טבצ'ניק דוד 3, פתח תקווה	32.093262	34.877623
15 שכ, רהט	31.391747	34.74392
יגור 2, תל אביב - יפו	32.0567933	34.7966656
ביאליק 21, חולון	32.0203409	34.7749855
ביאליק 3 הדר, חיפה	32.81207070000001	34.9996883
הזית, קרית גת	31.6039151	34.7701927
ההגנה 22, עכו	32.9287781	35.0700115
כפר זיתים, כנרת	32.811614	35.465165
אליעזר הגדול 4, ירושלים	31.7545042	35.2043282
אבו קרינאת (יישוב), באר שבע	31.103115	34.952003
החשמונאים 33, דן-צפון	32.7929987	35.52381889999999
"רמב""ם גבעת שרת, נהריה"	33.0092445	35.107957
בילאל 8015, נצרת	32.713791	35.303267
דרך אלנבי 69, חיפה	32.8187846	34.9877881
נחלים, נחלים	32.05859700000001	34.9136
דרך החורש, יהוד-נווה אפרים	32.034919	34.878417
דרך שרה, חדרה	32.5673884	34.9583124
עוזה, אשקלון	31.593042	34.764524
הגדוד העברי 19, מרכז-צפון	31.9642324	34.8101714
אבו קורינאת (שבט), באר שבע	31.103115	34.952003
חיל הנדסה 18, באר שבע	31.2415682	34.81259
דבורה עומר, רחובות	31.8943652	34.8115292
גרינשפן הרשל 6, ראשון לציון	31.95908129999999	34.8020886
מנוף, מנוף	32.853258	35.237355
שדרת הקבוצים 1, רחובות	31.8839238	34.8172026
החייל 7, רעננה	32.1846051	34.8697899
חברון 8, בני ברק	32.0838341	34.8265621
אוסישקין 61, פתח תקווה	32.0904313	34.8901777
סילבר אבא הלל 71, חיפה	32.7909581	35.0104605
פרידמן שרגא 4, תל-אביב	32.1178338	34.7913138
ירושלים הבירה 2, יזרעאל	32.4985465	35.4974549
הכנסת 4, גבעתיים	32.073907	34.8120644
שד בן גוריון 34, דן-דרום	32.0844278	34.7736676
החלמונית 19, רחובות	31.9744416	34.7845223
גן יאשיה, השרון (נתניה)	32.349487	34.996245
הסחלב 2, ראשון לציון	31.9708746	34.7854401
מבוא נגבה 10, רמת גן	32.0693431	34.8235862
המתמיד, נשר	32.7743775	35.0341795
הפרגים 19, יזרעאל	32.7032326	35.1582442
נוה ירק, נווה ירק	32.132729	34.925488
"צה""ל 41, חיפה"	32.8265572	34.9759917
מוסיוף שלמה 25, ירושלים	31.7920166	35.2215126
כצנלסון 1, קרית טבעון	32.707639	35.122843
יקינטון 4, השרון (נתניה)	32.2727082	34.8510076
דפנה, באר שבע	31.2562393	34.754608
הגולן 16 א, יהודה	33.01558540000001	35.784354
שכונה מערבית, מגאר	32.891811	35.401278
רבין יצחק, חדרה	32.4295867	34.9242112
הרקפת 731, מעלות-תרשיחא	33.0114467	35.2905025
אלחריזי 9, כפר סבא	32.1693459	34.9246099
הנשיא 63, אשקלון	31.669612	34.5634321
אבתאן, השרון (נתניה)	32.321458	34.853196
מבצע דני 1, פתח תקווה	32.0972652	34.9758183
ציפורי 1, יזרעאל	32.7085687	35.3204216
נס לגויים 53, תל אביב - יפו	32.0438352	34.7652751
אברבנאל 30, רחובות	31.88707519999999	34.8173464
רוויה, רוויה	32.448638	35.473118
צביה ויצחק 15, באר שבע	31.2240901	34.7788479
בית קמה, באר שבע	31.446566	34.762248
אילון / גדעון 82, רמת גן	32.0672533	34.8181336
מצפה, מצפה	32.789973	35.507851
תבור, יזרעאל	32.7067044	35.3246132
אבן דנאן 03 הר נוף, ירושלים	31.784846	35.1733
שד בן גוריון, קרית מלאכי	31.729754	34.74267
מבוא יפה נוף 1, יהודה	32.0790454	34.8115952
רביצקי 5, בית שמש	31.7521648	34.9940402
אלתר רחל 3, לוד	31.9483217	34.8886673
כפר חנניה, כפר חנניה	32.915993	35.423785
עין אל-אסד, עכו	32.940754	35.401027
"אח""י אילת 31, חיפה"	32.82019440000001	35.0717959
שינקין 18, ראשון לציון	31.97239939999999	34.8003532
יהודה הלוי 18, באר שבע	31.2580211	34.7879402
הכרמל, חשמונאים	31.9295972	35.0232451
"כ""ץ יאיר 4, חיפה"	32.8277872	34.964286
כפר הס, השרון (נתניה)	32.247721	34.935137
חדרה 2, תל-אביב	32.0855761	34.7871329
גבע כרמל, חדרה	32.662163	34.954078
הנשר 3, רחובות	31.8943652	34.8115292
